Model: Babelscape/wikineural-multilingual-ner              | time:  1.12s | success: 6
Model: oliverguhr/fullstop-punctuation-multilang-large     | time:  5.79s | success: 9
Model: Gherman/bert-base-NER-Russian                       | time:  1.24s | success: 2
Model: gpt-4o-mini                                 (cloud) | time: 33.34s | success: 19

====================================================================================================
Детализация:
====================================================================================================

Модель Babelscape/wikineural-multilingual-ner:

   1 | task: Простой текст: персона, организация, место    | correct:   1 | orig: Стив Джобс основал Apple в Купертино.                                            | res: PER: Стив Джобс; ORG: Apple; LOC: Купертино
  12 | task: Книга, автор, год                             | correct:   0 | orig: Роман Война и мир написал Лев Толстой в 1869 году.                               | res: FIRST_NAME: Лев; LAST_NAME: Толстой

  13 | task: Технические сущности                          | correct:   0 | orig: Сервер на базе Intel Xeon размещён в дата-центре в Нидерландах.                  | res: COUNTRY: Нидерландах

  14 | task: Событие и место                               | correct:   0 | orig: Олимпийские игры 2024 прошли в Париже.                                           | res: CITY: Париже

  15 | task: Email и телефон                               | correct:   0 | orig: Свяжитесь с нами по email support@example.com или телефону +7 495 123-45-67.     | res: 

  16 | task: Ник в соцсети                                 | correct:   0 | orig: Подпишитесь на @elonmusk в Твиттере.                                             | res: 

  17 | task: Номер рейса и города                          | correct:   0 | orig: Рейс SU1234 из Москвы в Нью-Йорк задержан.                                       | res: CITY: Москвы, Нью, -, Йорк

  18 | task: URL                                           | correct:   0 | orig: Подробнее на сайте https://example.com/news.                                     | res: 

  19 | task: Количество и валюта                           | correct:   0 | orig: Доставка 5 товаров на сумму 1500 рублей.                                         | res: 

  20 | task: Цитата и автор                                | correct:   0 | orig: Как сказал Альберт Эйнштейн: Воображение важнее знания.                          | res: FIRST_NAME: Альберт; LAST_NAME: Эйнштейн

Модель gpt-4o-mini:

   1 | task: Простой текст: персона, организация, место    | correct:   1 | orig: Стив Джобс основал Apple в Купертино.                                            | res: PER: Стив Джобс; ORG: Apple; GPE: Купертино

   2 | task: Дата и место                                  | correct:   1 | orig: Конференция пройдёт 15 мая 2025 года в Санкт-Петербурге.                         | res: DATE: 15 мая 2025 года; LOC: Санкт-Петербург

   3 | task: Персона и организация                         | correct:   1 | orig: Генеральный директор Microsoft Сатья Наделла выступил на конференции.            | res: ORG: Microsoft; PER: Сатья Наделла

   4 | task: Геополитические сущности                      | correct:   1 | orig: Франция и Германия подписали договор в Брюсселе.                                 | res: LOC: Франция, Германия, Брюссель

   5 | task: Денежная сумма и фонд                         | correct:   1 | orig: Стартап привлёк инвестиции в размере 10 миллионов долларов от Sequoia Capital.   | res: ORG: Sequoia Capital; MONEY: 10 миллионов долларов

   6 | task: Процент, страна и дата                        | correct:   1 | orig: Инфляция в России составила 7,5% в марте 2024 года.                              | res: GPE: Россия; DATE: март 2024 года; PERCENT: 7,5%

   7 | task: Продукт и компания                            | correct:   1 | orig: Samsung выпустила новый смартфон Galaxy S24 Ultra.                               | res: ORG: Samsung; PRODUCT: Galaxy S24 Ultra

   8 | task: Адрес                                         | correct:   1 | orig: Офис находится по адресу: г. Москва, ул. Тверская, д. 7.                         | res: LOC: Москва, Тверская; ADDRESS: г. Москва, ул. Тверская, д. 7

   9 | task: Фильм и год                                   | correct:   1 | orig: Фильм Интерстеллар получил Оскар в 2015 году.                                    | res: ORG: Интерстеллар, Оскар; DATE: 2015 год

  10 | task: Спортсмен и клуб                              | correct:   1 | orig: Лионель Месси играет за Интер Майами.                                            | res: PER: Лионель Месси; ORG: Интер Майами

  11 | task: Врач, пациент, лекарство                      | correct:   1 | orig: Доктор Иванова назначила Аспирин пациенту Петрову.                               | res: PER: Иванова, Петров; ORG: Аспирин

  12 | task: Книга, автор, год                             | correct:   1 | orig: Роман Война и мир написал Лев Толстой в 1869 году.                               | res: PER: Роман Война и мир, Лев Толстой; DATE: 1869 год

  13 | task: Технические сущности                          | correct:   0 | orig: Сервер на базе Intel Xeon размещён в дата-центре в Нидерландах.                  | res: ORG: Intel; GPE: Нидерланды

  14 | task: Событие и место                               | correct:   1 | orig: Олимпийские игры 2024 прошли в Париже.                                           | res: EVENT: Олимпийские игры 2024; LOC: Париж

  15 | task: Email и телефон                               | correct:   1 | orig: Свяжитесь с нами по email support@example.com или телефону +7 495 123-45-67.     | res: EMAIL: support@example.com; PHONE: +7 495 123-45-67

  16 | task: Ник в соцсети                                 | correct:   1 | orig: Подпишитесь на @elonmusk в Твиттере.                                             | res: PER: elonmusk; ORG: Твиттер

  17 | task: Номер рейса и города                          | correct:   1 | orig: Рейс SU1234 из Москвы в Нью-Йорк задержан.                                       | res: LOC: Москва, Нью-Йорк; FLIGHT: SU1234

  18 | task: URL                                           | correct:   1 | orig: Подробнее на сайте https://example.com/news.                                     | res: URL: https://example.com/news

  19 | task: Количество и валюта                           | correct:   1 | orig: Доставка 5 товаров на сумму 1500 рублей.                                         | res: MISC: 5 товаров, 1500 рублей

  20 | task: Цитата и автор                                | correct:   1 | orig: Как сказал Альберт Эйнштейн: Воображение важнее знания.                          | res: PER: Альберт Эйнштейн

